id,order_date,delivery_date,event_time,registration_date,expiration_date,customer_id,quantity,status,order_date_year,order_date_month,order_date_day,order_date_dayofweek,order_date_quarter,order_date_is_weekend,order_date_is_month_end,order_date_is_quarter_end,order_date_fiscal_quarter,order_date_season,delivery_date_year,delivery_date_month,delivery_date_day,delivery_date_dayofweek,delivery_date_quarter,delivery_date_is_weekend,delivery_date_is_month_end,delivery_date_is_quarter_end,delivery_date_fiscal_quarter,delivery_date_season,event_time_year,event_time_month,event_time_day,event_time_dayofweek,event_time_quarter,event_time_is_weekend,event_time_is_month_end,event_time_is_quarter_end,event_time_fiscal_quarter,event_time_season,registration_date_year,registration_date_month,registration_date_day,registration_date_dayofweek,registration_date_quarter,registration_date_is_weekend,registration_date_is_month_end,registration_date_is_quarter_end,registration_date_fiscal_quarter,registration_date_season,expiration_date_year,expiration_date_month,expiration_date_day,expiration_date_dayofweek,expiration_date_quarter,expiration_date_is_weekend,expiration_date_is_month_end,expiration_date_is_quarter_end,expiration_date_fiscal_quarter,expiration_date_season,customer_id_year,customer_id_month,customer_id_day,customer_id_dayofweek,customer_id_quarter,customer_id_is_weekend,customer_id_is_month_end,customer_id_is_quarter_end,customer_id_fiscal_quarter,customer_id_season
46,,2024-02-20 00:00:00,,2020-03-20,2022-03-20,,5,completed,,,,,,0,0,0,,,2024,2,20,1,1,0,0,0,2,4,,,,,,0,0,0,,,2020,3,20,4,1,0,0,0,2,1,2022,3,20,6,1,1,0,0,2,1,,,,,,0,0,0,,
47,,2024-02-21 00:00:00,,2020-02-15,2022-02-15,,3,pending,,,,,,0,0,0,,,2024,2,21,2,1,0,0,0,2,4,,,,,,0,0,0,,,2020,2,15,5,1,1,0,0,2,4,2022,2,15,1,1,0,0,0,2,4,,,,,,0,0,0,,
48,,2024-02-22 00:00:00,,2020-01-10,2022-01-10,,1,completed,,,,,,0,0,0,,,2024,2,22,3,1,0,0,0,2,4,,,,,,0,0,0,,,2020,1,10,4,1,0,0,0,2,4,2022,1,10,0,1,0,0,0,2,4,,,,,,0,0,0,,
49,,2024-02-23 00:00:00,,2019-12-05,2021-12-05,,4,completed,,,,,,0,0,0,,,2024,2,23,4,1,0,0,0,2,4,,,,,,0,0,0,,,2019,12,5,3,4,0,0,0,1,4,2021,12,5,6,4,1,0,0,1,4,,,,,,0,0,0,,
50,,2024-02-24 00:00:00,,2019-11-22,2019-10-22,,2,completed,,,,,,0,0,0,,,2024,2,24,5,1,1,0,0,2,4,,,,,,0,0,0,,,2019,11,22,4,4,0,0,0,1,3,2019,10,22,1,4,0,0,0,1,3,,,,,,0,0,0,,
51,,2024-02-25 00:00:00,,2019-10-18,2021-10-18,,6,completed,,,,,,0,0,0,,,2024,2,25,6,1,1,0,0,2,4,,,,,,0,0,0,,,2019,10,18,4,4,0,0,0,1,3,2021,10,18,0,4,0,0,0,1,3,,,,,,0,0,0,,
52,,2024-02-26 00:00:00,,2019-09-12,2021-09-12,,3,canceled,,,,,,0,0,0,,,2024,2,26,0,1,0,0,0,2,4,,,,,,0,0,0,,,2019,9,12,3,3,0,0,0,4,3,2021,9,12,6,3,1,0,0,4,3,,,,,,0,0,0,,
53,,2024-02-27 00:00:00,,2019-08-05,2021-08-05,,1,completed,,,,,,0,0,0,,,2024,2,27,1,1,0,0,0,2,4,,,,,,0,0,0,,,2019,8,5,0,3,0,0,0,4,2,2021,8,5,3,3,0,0,0,4,2,,,,,,0,0,0,,
54,,2024-02-28 00:00:00,,2019-07-20,2021-07-20,,5,completed,,,,,,0,0,0,,,2024,2,28,2,1,0,0,0,2,4,,,,,,0,0,0,,,2019,7,20,5,3,1,0,0,4,2,2021,7,20,1,3,0,0,0,4,2,,,,,,0,0,0,,
55,,2024-02-29 00:00:00,,2019-06-15,2021-06-15,,2,completed,,,,,,0,0,0,,,2024,2,29,3,1,0,1,0,2,4,,,,,,0,0,0,,,2019,6,15,5,2,1,0,0,3,2,2021,6,15,1,2,0,0,0,3,2,,,,,,0,0,0,,
56,,2024-03-01 00:00:00,,2019-05-10,2021-05-10,,4,completed,,,,,,0,0,0,,,2024,3,1,4,1,0,0,0,2,1,,,,,,0,0,0,,,2019,5,10,4,2,0,0,0,3,1,2021,5,10,0,2,0,0,0,3,1,,,,,,0,0,0,,
57,,2024-03-02 00:00:00,,2019-04-22,2019-03-22,,3,pending,,,,,,0,0,0,,,2024,3,2,5,1,1,0,0,2,1,,,,,,0,0,0,,,2019,4,22,0,2,0,0,0,3,1,2019,3,22,4,1,0,0,0,2,1,,,,,,0,0,0,,
58,,2024-03-03 00:00:00,,2019-03-18,2021-03-18,,1,completed,,,,,,0,0,0,,,2024,3,3,6,1,1,0,0,2,1,,,,,,0,0,0,,,2019,3,18,0,1,0,0,0,2,1,2021,3,18,3,1,0,0,0,2,1,,,,,,0,0,0,,
59,,2024-03-04 00:00:00,,2019-02-12,2021-02-12,,6,completed,,,,,,0,0,0,,,2024,3,4,0,1,0,0,0,2,1,,,,,,0,0,0,,,2019,2,12,1,1,0,0,0,2,4,2021,2,12,4,1,0,0,0,2,4,,,,,,0,0,0,,
60,,2024-03-05 00:00:00,,2019-01-05,2021-01-05,,2,completed,,,,,,0,0,0,,,2024,3,5,1,1,0,0,0,2,1,,,,,,0,0,0,,,2019,1,5,5,1,1,0,0,2,4,2021,1,5,1,1,0,0,0,2,4,,,,,,0,0,0,,
61,,2024-03-06 00:00:00,,2018-12-20,2020-12-20,,5,completed,,,,,,0,0,0,,,2024,3,6,2,1,0,0,0,2,1,,,,,,0,0,0,,,2018,12,20,3,4,0,0,0,1,4,2020,12,20,6,4,1,0,0,1,4,,,,,,0,0,0,,
62,,2024-03-07 00:00:00,,2018-11-15,2020-11-15,,3,canceled,,,,,,0,0,0,,,2024,3,7,3,1,0,0,0,2,1,,,,,,0,0,0,,,2018,11,15,3,4,0,0,0,1,3,2020,11,15,6,4,1,0,0,1,3,,,,,,0,0,0,,
63,2024-03-03,2024-03-08 00:00:00,,2018-10-10,2020-10-10,,1,completed,2024.0,3.0,3.0,6.0,1.0,1,0,0,2.0,1.0,2024,3,8,4,1,0,0,0,2,1,,,,,,0,0,0,,,2018,10,10,2,4,0,0,0,1,3,2020,10,10,5,4,1,0,0,1,3,,,,,,0,0,0,,
64,2024-03-04,2024-03-09 00:00:00,,2018-09-22,2018-08-22,,4,returned,2024.0,3.0,4.0,0.0,1.0,0,0,0,2.0,1.0,2024,3,9,5,1,1,0,0,2,1,,,,,,0,0,0,,,2018,9,22,5,3,1,0,0,4,3,2018,8,22,2,3,0,0,0,4,2,,,,,,0,0,0,,
65,2024-03-05,2024-03-07 00:00:00,,2018-08-18,2020-08-18,,2,completed,2024.0,3.0,5.0,1.0,1.0,0,0,0,2.0,1.0,2024,3,7,3,1,0,0,0,2,1,,,,,,0,0,0,,,2018,8,18,5,3,1,0,0,4,2,2020,8,18,1,3,0,0,0,4,2,,,,,,0,0,0,,
66,2024-03-06,2024-03-11 00:00:00,,2018-07-12,2020-07-12,,5,completed,2024.0,3.0,6.0,2.0,1.0,0,0,0,2.0,1.0,2024,3,11,0,1,0,0,0,2,1,,,,,,0,0,0,,,2018,7,12,3,3,0,0,0,4,2,2020,7,12,6,3,1,0,0,4,2,,,,,,0,0,0,,
67,2024-03-07,2024-03-12 00:00:00,,2018-06-05,2020-06-05,,3,pending,2024.0,3.0,7.0,3.0,1.0,0,0,0,2.0,1.0,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2018,6,5,1,2,0,0,0,3,2,2020,6,5,4,2,0,0,0,3,2,,,,,,0,0,0,,
68,2024-03-08,2024-03-13 00:00:00,,2018-05-20,2020-05-20,,1,completed,2024.0,3.0,8.0,4.0,1.0,0,0,0,2.0,1.0,2024,3,13,2,1,0,0,0,2,1,,,,,,0,0,0,,,2018,5,20,6,2,1,0,0,3,1,2020,5,20,2,2,0,0,0,3,1,,,,,,0,0,0,,
69,2024-03-09,2024-03-14 00:00:00,,2018-04-15,2020-04-15,,6,completed,2024.0,3.0,9.0,5.0,1.0,1,0,0,2.0,1.0,2024,3,14,3,1,0,0,0,2,1,,,,,,0,0,0,,,2018,4,15,6,2,1,0,0,3,1,2020,4,15,2,2,0,0,0,3,1,,,,,,0,0,0,,
70,2024-03-10,2024-03-12 00:00:00,,2018-03-10,2020-03-10,,2,completed,2024.0,3.0,10.0,6.0,1.0,1,0,0,2.0,1.0,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2018,3,10,5,1,1,0,0,2,1,2020,3,10,1,1,0,0,0,2,1,,,,,,0,0,0,,
71,,2024-03-12 00:00:00,,2018-02-22,2020-02-22,,4,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2018,2,22,3,1,0,0,0,2,4,2020,2,22,5,1,1,0,0,2,4,,,,,,0,0,0,,
72,,2024-03-12 00:00:00,,2018-01-18,2018-12-18,,3,canceled,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2018,1,18,3,1,0,0,0,2,4,2018,12,18,1,4,0,0,0,1,4,,,,,,0,0,0,,
73,,2024-03-12 00:00:00,,2017-12-12,2019-12-12,,1,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,12,12,1,4,0,0,0,1,4,2019,12,12,3,4,0,0,0,1,4,,,,,,0,0,0,,
74,,2024-03-12 00:00:00,,2017-11-05,2019-11-05,,5,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,11,5,6,4,1,0,0,1,3,2019,11,5,1,4,0,0,0,1,3,,,,,,0,0,0,,
75,,2024-03-12 00:00:00,,2017-10-20,2019-10-20,,2,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,10,20,4,4,0,0,0,1,3,2019,10,20,6,4,1,0,0,1,3,,,,,,0,0,0,,
76,,2024-03-12 00:00:00,,2017-09-15,2019-09-15,,4,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,9,15,4,3,0,0,0,4,3,2019,9,15,6,3,1,0,0,4,3,,,,,,0,0,0,,
77,,2024-03-12 00:00:00,,2017-08-10,2019-08-10,,3,pending,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,8,10,3,3,0,0,0,4,2,2019,8,10,5,3,1,0,0,4,2,,,,,,0,0,0,,
78,,2024-03-12 00:00:00,,2017-07-22,2017-06-22,,1,returned,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,7,22,5,3,1,0,0,4,2,2017,6,22,3,2,0,0,0,3,2,,,,,,0,0,0,,
79,,2024-03-12 00:00:00,,2017-06-18,2019-06-18,,6,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,6,18,6,2,1,0,0,3,2,2019,6,18,1,2,0,0,0,3,2,,,,,,0,0,0,,
80,,2024-03-12 00:00:00,,2017-05-12,2019-05-12,,2,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,5,12,4,2,0,0,0,3,1,2019,5,12,6,2,1,0,0,3,1,,,,,,0,0,0,,
81,,2024-03-12 00:00:00,,2017-04-05,2019-04-05,,5,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,4,5,2,2,0,0,0,3,1,2019,4,5,4,2,0,0,0,3,1,,,,,,0,0,0,,
82,,2024-03-12 00:00:00,,2017-03-20,2019-03-20,,3,canceled,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,3,20,0,1,0,0,0,2,1,2019,3,20,2,1,0,0,0,2,1,,,,,,0,0,0,,
83,,2024-03-12 00:00:00,,2017-02-15,2019-02-15,,1,completed,,,,,,0,0,0,,,2024,3,12,1,1,0,0,0,2,1,,,,,,0,0,0,,,2017,2,15,2,1,0,0,0,2,4,2019,2,15,4,1,0,0,0,2,4,,,,,,0,0,0,,
