UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
34,44986,"Toronto, Ontario",08-03-2020,imho russia rug pull oil price designed end dollar global reserve currency corp debt collapse led high yield fracking compounded covid mean fed u govt respond mmt ciao dollar alt collapse got gold silver yet,Extremely Negative
35,44987,"Angmering, West Sussex",08-03-2020,due brexit gtgt supermarket begin foodrationing wave coronavirusfuelled panic buying,Neutral
36,44988,"Dont ask for freedom, take it.",08-03-2020,remember medium deflection story bog roll panicbuying food shortage covid irish bridge etc etc weve still got brexit austerity poverty crashing economy amp worst uk govt living memory depressing stuff amp aint gon na end well,Extremely Negative
37,44989,"New York, NY",08-03-2020,fellow uni instructor covid ff class cancelations inconvenient remember youre salaried employee maybe callemail hr union amp demand know hourly worker clerical foodservice custodial etc compensated campus closure,Negative
38,44990,,08-03-2020,howroute its even food actual heck news people need food water need paper wipe sayin covid covid coronavirus corona virus panic,Neutral
39,44991,"Sydney, New South Wales",08-03-2020,part soap work well sarscov coronavirus indeed virus selfassembled nanoparticle weakest link lipid fatty bilayer two part thread soap virus supramolecular chemistry covid,Negative
40,44992,Socially Distanced in NC,08-03-2020,thread please stop shaming folk stock food personal care product ahead coronavirus covid trump made clear doesnt care wont help theyre protecting family way its tiny bit mastery control terrifying time,Extremely Positive
41,44993,"Michigan, USA",09-03-2020,thinking senior disabled amp vet shouldnt included realdonaldtrump aid package covid coronavirus check price antibacterial soap disinfectant safer transportation crowded city bus list go senstabenow rashidatlaib,Positive
42,44994,Pennsylvania,09-03-2020,far pennsylvanian reached office report inflated price everything disinfectant spray liquid soap price gouging like isnt wrong its illegal keep email coming pricegouging coronavirus,Negative
43,44995,Kolkata?? and Dhaka??,09-03-2020,global stock market continued bear run dowjones sampp plunged opened monday plunge largely back overnight slump crudeoil price along persistent concern impact coronavirus global economy,Neutral
44,44996,"Washington, D.C.",09-03-2020,scammer taking advantage fear surrounding coronavirus tip help keep scammer bay covid,Positive
45,44997,"Burnaby, British Columbia",09-03-2020,business international market exportdevcanada webinar show navigate todays exporting challenge rising commodity price due covid virus,Positive
46,44998,"Manhattan, NY",09-03-2020,gig economy earn ppl going immediately process refund earned income tax credit child tax credit borrow credit cash help make end meet normal consumer behavior return coronavirus,Extremely Positive
47,44999,"Colorado, USA",09-03-2020,instructed insurance company make covid testing free important step help ensure cost barrier stand way people getting tested read,Extremely Positive
48,45000,"Washington, DC",09-03-2020,oil price dipping absolutely nothing covid everything opec talk collapsing saudi feuding russia celebrate calm hell weirdo,Extremely Negative
49,45001,United States,09-03-2020,global stock plummeted today due fear surrounding covid falling oil price saw biggest oneday drop since gulf war let look major stock index reacting news based closing value,Extremely Negative
50,45002,#NoNazis?? kaspum zaháv,09-03-2020,beginning global recession coronavirus damaging health crisis oil price falling u stock falling drop morning amp trading halt migration crisis eu border housingcrisis amp skyrocketing rent tenant losing income q,Extremely Negative
51,45003,Australia,09-03-2020,newssydney scottmorrisonmp factor bought recession ignoring percapita recession wage growth stagnant consumer debt level roof casualized work change economy driven government co,Extremely Negative
52,45004,USA|EUROPE|ASIA|GLOBAL??,09-03-2020,cuomo press conference new york releasing new brand state made sanitizer price ¢ gallon coronavirusupdates corona coronavirusoutbreak virus covid covid nyc,Neutral
53,45005,Colorado,09-03-2020,ignore online offer vaccination currently vaccine pill potion lotion lozenge prescription overthecounter product available treat cure coronavirus disease covid  online store ftc tip,Negative
54,45006,"Cambridgeshire, UK",09-03-2020,lucky enough sitting home enough food get period selfisolation please consider donating trusselltrust help couldnt stock even wanted trusselltrust foodbanks coronavirus covid,Extremely Positive
55,45007,earth,09-03-2020,thehill american need take upon help avoid contracting covid prep self quarantine wks stop unnecessary travel crowd gathering talk employer proceed wo harm career plan sch,Extremely Negative
56,45008,?? ???? ?????? . ??? ???? ???,09-03-2020,realdonaldtrump separate table u corna virus statistic high stats corona virus u government inability control corona virus high price disinfectant gel usa high price mask usa food price rising day day,Negative
57,45009,"Texas, USA",10-03-2020,toiletpaper shortage dont believe everything see tv costco nowcoronavirus,Negative
58,45010,"Western Australia, Australia",10-03-2020,come guy please like bob covid panicbuying coronavirus,Positive
59,45011,London,10-03-2020,booked ticket event part package holiday offered alternative refund travel provider cancelled due coronavirus check abtas consumer qampa covid,Positive
60,45012,,10-03-2020,breaking new jersey official urge resident stock two week coronavirus quarantine case covid,Neutral
61,45013,"Dallas, USA",10-03-2020,russia lng also suffer irony spot lng price already record low coronavirus declaration force majeure chinese company contracted lng became way make money oil price collapsed big hit,Extremely Negative
62,45014,"Bowling Green, KY",10-03-2020,breakingnews terrorist watched closely coronavirus spin web know american value wiping citizen rush buy toilet paper neglect stock food terrorist holding toiletpaper factory hostage film,Extremely Negative
63,45015,Five offices across Canada,10-03-2020,novel coronavirus covid continues spread worldwide impact international business operation supply chain travel commodity price consumer confidence business forecast becoming increasingly acute blgpublication,Extremely Positive
64,45016,,10-03-2020,lower oil price lower interestrate sort fiscal stimulus great consumer isnt problem problem fear coronavirus fear quarantined day thats people stopped traveling interest rate tax,Extremely Negative
65,45017,,10-03-2020,consumer increased online shopping due coronavirus retail ecommerce study coronavirus,Positive
66,45018,"Lambeth, London",10-03-2020,self indulging thought food medicine essential household good stock piling like people universal credit stock piling ffs coronavirus,Negative
67,45019,"Wales, United Kingdom",10-03-2020,ok covid nothing panic italy imposing biggest restriction civilian population since ww supermarket able provide food worker told stay home bussiness,Positive
68,45020,Washington DC,10-03-2020,trump said people must vigilant concluded calm really working lot good thing going happen consumer ready consumer powerful country weve done tax cut regulation cut thing,Extremely Positive
69,45021,Edmonton Alberta,10-03-2020,top food item stock case quarantined coronavirus home stay peoples mind ten food stocking pantry support physical mental health,Positive
70,45022,"Manchester, UK",10-03-2020,hi please support local chinese restaurant amp order delicious food really struggling covid panic many let staff go favs manchester sweetmandarin amp blueeyedpandam thank iwilleatwithyou,Positive
71,45023,Missouri,10-03-2020,report instance price gouging covid scam attorney generals consumer protection hotline online coronavirus,Negative
72,45024,,10-03-2020,russia breaking rank opec signalled intent take nemesis american oil gas industry uselections covid oilwar steeped market least favorite thing uncertainty time wont succeed low oil price wont last long oott,Extremely Positive
73,45025,España / USA,10-03-2020,retail expert talk significant decrease store traffic due coronavirus check article,Positive
74,45026,,10-03-2020,met member distributive trade today examine preparation impact covid based report key manufacturer importer least mths stock therefore expect shortage critical food item,Negative
75,45027,New York City,10-03-2020,say need stock food couple week tip get properly store perishable item coronavirus,Neutral
76,45028,Kjipuktuk/Halifax,10-03-2020,genuine concern around covid folk may isolate work low wagehourly pay job folk barely getting dont get paid sick day folk cant stock week worth food folk cant work working poor suffer,Extremely Negative
77,45029,Australia,10-03-2020,could many world population infected coronavirus end year prayer useless science come rescue happen world recover year stock food people doomsdaybunker,Negative
78,45030,"Manchester, NH",10-03-2020,important update ceo brian beaulieu broadened scope covid webinar expect oil price drop stock market development retail sale unfolding situation china italy learn register,Positive
79,45031,"Columbus, OH",10-03-2020,target taking coronavirus covid seriously store adding hour staff clean rigorously stopping food sample bolstering order pick drive encouraging employee stay home adding stock limiting item purchase wsyx,Positive
80,45032,US,10-03-2020,cdc older folk stock food stay home amid coronavirus business insider wow,Positive
81,45033,"Tampa, FL",10-03-2020,get infected death rate coronavirus die usa dont mo mney stock food find fishing hole supply hunt fish,Extremely Negative
82,45034,Dublin,10-03-2020,every shop chemist retailer sort raise price coronavirus boycotted greed country start whove governed u almost year ff fg made many u lose compassion decency,Negative
83,45035,,10-03-2020,witch hazel wont help protect coronavirus even diy hand sanitizer ameshaa,Extremely Positive
84,45036,,10-03-2020,thehill donaldtrump lie rumor never recognized sense humor sell u balm tell u stay calm blame consumer covid trumpdemic coronavirus,Negative
85,45037,,10-03-2020,realdonaldtrump balm coronavirus donaldtrump lie rumor never recognized sense humor sell u balm tell u stay calm blame consumer covid trumpdemic coronaviru,Negative
86,45038,Worldwide,10-03-2020,q earnings expected heavily impacted coronavirus steep decline commodity price analyst cutting estimate tdhillon daveaurelio analyse data trusteddata refinitiv covid,Negative
87,45039,"Galway, Ireland",10-03-2020,suggestion slowstop covid work remotely home online school lecture updated hsedept health website order shopping online delivery need broadband remoteworking broadband rural,Negative
88,45040,IN,10-03-2020,retailer gouging consumer clorox spray wipe sanitizers use even its available gee bet make china sanitizer coronavirus,Neutral
89,45041,Massachusetts,10-03-2020,stay vigilant stay safe adapt covid know office answer question scam sick time fraud consumer hotline health care hotline fair labor hotline,Negative
90,45042,"New Jersey, USA ??",10-03-2020,even without coronavirus suspension elimination payrolltax quickest sensible mean enhancing consumer liquidity working american especially parttime low wage worker realdonaldtrump exactly right thing,Negative
91,45043,East of England,10-03-2020,advice national u health expert avoiding coronavirus cdc american stock food medication avoid venturing coronavirus spread uk gov wash hand amp carry covid,Negative
92,45044,Ipswich,10-03-2020,awful impact coronavirus continuing felt around world event china also affecting uk container industry mean consumer looking buy shippingcontainers find mrbox,Negative
93,45045,England,10-03-2020,wash hand often second soap water use hand sanitiser,Positive
94,45046,North Carolina,10-03-2020,coronavirus covid oil price drop lead u recession business insider,Negative
95,45047,,10-03-2020,german colleague confirmed hamsterkäufe hamster stuff cheek food indeed german term panic buying cute news need today hamsterkäufe covid covidireland coronavirusireland panicbuyingireland panicbuying,Negative
96,45048,Ireland,10-03-2020,government must provide hand sanitizer public building transport hub matter utmost urgency state must penalize business trying profit crisis rising price essential item like hand sanitizer covidireland covid,Extremely Positive
97,45049,United States,10-03-2020,need quarantined home coronavirus consumer report,Neutral
98,45050,"Indianapolis, IN",10-03-2020,see new fujifilmxus xt xv robert join u saturday march th robert downtown location pm make sure stop register free mystery giveaway,Extremely Positive
99,45051,"San Diego, CA",10-03-2020,spiking price state emergency crime report coronavirus covid,Extremely Negative
100,45052,,10-03-2020,besides canned food toilet paper kr tgt wmt amzn cost cv investing stock coronavirus covid market economy,Neutral
101,45053,"Hyderabad, India",10-03-2020,nileshshah summarized important point paper thread,Positive
102,45054,USA,10-03-2020,hlaurora husband asked today stock food supply coronavirus,Neutral
103,45055,"Washington, DC",10-03-2020,missouri ag sue televangelist advertising silver solution cure coronavirus,Positive
104,45056,"Washington, DC",10-03-2020,president trump go away stay calm go away,Positive
105,45057,Canada,10-03-2020,actually need stock pile food first actually use toilet paper eat need use toilet need toilet paper toiletpaper covid coronavirus idiot,Neutral
106,45058,"Hamilton, Ontario, Canada",10-03-2020,hamiltonpoverty calling canadian federal government provide basicincome wellbeing stimulus payment current covid situation basic income even interim could help keep people healthy revive consumer confidence spending cdnpoli,Extremely Positive
107,45059,,10-03-2020,solid advice senior family member amp complexhealth care needscdc older american consider stocking food medication amp avoid venturing coronavirus spread covidcanada coronaviruscanada bcseniors,Positive
108,45060,"Hackney, London",10-03-2020,local medium naples reported seria football player callejon llorente ospinta among people queuing outside supermarket last night stock food coronavirus emergency,Negative
109,45061,,10-03-2020,reminder state emergency effect statewide due coronavirus californian protected illegal price gouging housing gas food essential supply,Negative
110,45062,,10-03-2020,thinking close school many child may lose access main source meal happen demand food bank trusselltrust coronavirus foodbanks poverty uk,Negative
111,45063,United States,11-03-2020,realdonaldtrump covid dont go sick wash hand call ahead wear mask doctor stock food medicine work home keep social distance hand sanitizer surface avoid touching,Negative
112,45064, England.,11-03-2020,appear absolutely good stock pilingpanic buying food good toilet roll coronavirus im moving something im good buying tin whistle apple watch band better toilet roll,Positive
113,45065,United States,11-03-2020,pretty good chance waiterwaitress grocerydepartment store clerk ubertaxi driver doesnt health insurance paid sick leave also pretty good chance people come contact covid coronavirus still think bernies radical good luck,Extremely Positive
114,45066,"Highland, MI",11-03-2020,dont understand run toilet paper would think youd stock food first without food wont need toilet paper coronavirus,Negative
115,45067,Sydney,11-03-2020,govt trying boost spending save economy several retail staff witnessed yesterday one store continuously coughing merchandise elsewhere bigw eastgardens coronavirus stimulus auspol,Positive
116,45068,,11-03-2020,weve lied covid find need stock food amp water city quarantined coronavirus chiropractor naturopath stock gold silver blackpink bts coach trainer librarian twice yibo xiaozhan animalcrossing trucker,Negative
117,45069,Home of the Growling Tigers,11-03-2020,metro manila lock cause shortage food supply hoarding stuff less fortunate family able stock lot oh lord pray covid end everything boil worst,Negative
118,45070,,11-03-2020,hey guysss important message friend family amp viewer aware corona virus follow procedure help keep family safe aadyasitara aadya sitara coronavírus coronaaleart covid staysafe sanitizer covid,Extremely Positive
119,45071,"Toronto, Ontario",11-03-2020,low gas price could hurt economy toronto driver take advantage torontodotcom covid covid coronaviruscanada,Negative
120,45072,,11-03-2020,due coronavirus year old grandma going cabinet round supply present bottle hydrogen peroxide expired july,Neutral
121,45073,Boca Raton Fl,11-03-2020,fuck safer coronavirus train gas station grocery store gym sxsw ballgame amusement park either put guy gas mask gun street let u live life,Positive
122,45074,"Austin, TX",11-03-2020,one beautiful thing working home strictly online small business covid isnt transmittable email keep shopping,Extremely Positive
123,45075,Boston,11-03-2020,public school college university closure due coronavirus lot food insecure student go hungry stock pantry consider donating local food pantry help feed kid coronavirusupdate,Neutral
124,45076,Ph Guillermo Munt,11-03-2020,venezuela latin america affected country twin crisis coronavirus collapsing oil price see whats coming,Negative
125,45077,Ph Guillermo Munt,11-03-2020,coronavirus crisis speed technological revolution school health service shopping work go online even faster pace see robot coming vintagebooks,Extremely Negative
126,45078,Ph Guillermo Munt,11-03-2020,coronavirus crisis speed technological revolution school health service shopping work go online even faster pace see robot coming page vintagebooks,Extremely Negative
127,45079,"arkansassy, usa",11-03-2020,ok know people scared amp stock piling water med food amp toilet paper cat food like guy cat picky eats rachaelray brand start buying cat food coronavirus,Positive
128,45080,Sector8023 of the 3rd Quadrant,11-03-2020,food product stock canned meat many veggie amp fruit already noodle amp rice wish felt safe fresh stuff dont maybe dried fruit else coronavirus stockpile thought,Positive
129,45081,"Montreal, QC, Canada",11-03-2020,covid fallout ghost flight going swap cabin payload cargo payload self isolated individual take online shopping globally pastime waiting lockdown end,Negative
130,45082,,11-03-2020,avoid panic empty shelf store stock amazon pantry item ad coronavirus prepper beprepared corona coronavirusoutbreak soldout coronavid wuhanvirus coronavirususa covid wuhancoronavirus toiletpaper,Extremely Negative
131,45083,Interior Alaska,11-03-2020,trump admin worried stock market oil company cruise hotel industry people nation want know tested become ill go work earn next month rent food family coronavirus,Negative
132,45084,Istanbul,11-03-2020,share turkish supermarket chain migros surged much today expectation stocking nation first coronavirus case confirmed,Positive
133,45085,,11-03-2020,ok covid made flight cheap emptied busy tourist destination europe panicked hell stock market coviduk lower house price,Extremely Negative
134,45086,"Either in UK, AFrica, EU or Ukraine",11-03-2020,former supermarket bos say staff selfisolating due possible covid symptom affect abiity store restock shelf panicbuying right eitheror plus also shortage delivery driver amp packer,Negative
135,45087,"New York, NY",11-03-2020,fight broke australian supermarket toiletpapercrisis led police intervene woman asked just one packet second woman least four large packet cart,Extremely Negative
136,45088,"Mississauga, Ontario",11-03-2020,thejagmeetsingh please ask government food security coming month case crisis due coronavirus canadian r afraid buying stock coming month its hard find lysol wipe hand sanitizers hand soap,Extremely Positive
137,45089,"Sullivan County, NY",11-03-2020,trevor rd tcfd share helpful tip come stocking food coronavirus quarantine stock pantry always amp aim diet consist protein fat carbs fruit amp veggie michaelrosen foodismedicine,Extremely Positive
138,45090,,11-03-2020,sainsburys please make sure midst panic buying hoarding general insanity seen store recently save stock local food bank seen donation fall together,Negative
139,45091,"Vermont, USA",11-03-2020,coronavirus food latest good piece marionnestle im curious informal poll taking covid infection precaution amp stockpiling food amp essential supply right many week planning,Extremely Positive
140,45092,"South Orange, NJ",11-03-2020,doesnt matter whats going marthas grind,Neutral
141,45093,"Seattle, WA",11-03-2020,charity like youtheastside clubinsider scrambling cancelling big fundraiser due covidseattle upayasv went virtual amp day raised dreamed share tip seattlefdn komonews,Extremely Positive
142,45094,United States,11-03-2020,sanitizer special free squirt sanitizer purchase awesome donut amp great cup coffee coronavirus coronavirusupdate therightcoffee sanitizer,Extremely Positive
143,45095,,11-03-2020,bitcoin price covid scam,Neutral
144,45096,"Switzerland, Earth",11-03-2020,cptsd therapist recommends go among people isolate less government advises stay home recommend selfisolation consider even go shopping anymore instead online coronavirus,Neutral
145,45097,WORLDWIDE,11-03-2020,canceleverything tending due covid coronavirus look like shopping online reading book,Positive
146,45098,,11-03-2020,interesting see many business telling employee work home caution u cant would happen one grocery store coworkers contracted coronavirus affected customer come store,Positive
147,45099,Boston,11-03-2020,chemical explanation soap amp water kickass weapon coronavirus soap is almost like demolition team breaking building taking brick away say chemistry prof palli thordarson bresnick covid,Negative
148,45100,Zebes (SR388),11-03-2020,supermarket petrol station place sell hand sanitizertoilet paper expected price greedy asshole dont dont guy covid,Negative
149,45101,United Kingdom,11-03-2020,let hope stock bought toilet roll get shit amp get forced stay indoors toilet roll amp hardly food coronavirus cornoravirusuk corona toiletpapercrisis toiletpaperpanic toiletpaperpanic banter,Negative
150,45102,"San Francisco, CA",11-03-2020,smart stock year supply live canned perishable food plague coronavirus foodsecurity,Positive
151,45103,Gaia,11-03-2020,everyone really need stock toilet paper paper towel two week food understand dont need year worth toilet paper paper towel like world ending coronavirus,Negative
152,45104,Philippines,11-03-2020,fill fridge enough food ready medical supply water avoid crowd updated news dont panic work home feasible boost immune system drinking vitamin always wash hand stay safe healthy covid metromanilacovid,Extremely Positive
153,45105,Connecticut,11-03-2020,official saying stock extra day worth food prep coronavirus outbreak saw woman panick said didnt know extra day food looked likespeech antihunger policy conference,Neutral
154,45106,sales@esmmagazine.com,11-03-2020,u consumer price unexpectedly rose february likely decline month ahead coronavirus outbreak depresses demand good service covid,Extremely Negative
155,45107,,11-03-2020,ever notice people could afford skip meal stampeding grocery store stock food coronavirus,Neutral
156,45108,"Livingston, Scotland",11-03-2020,news panic buying food supermarket headline week fear coronavirus grows stock freezer look gas monitoring frozen dried food storage discover play role keeping food fresh,Negative
157,45109,"Boston, MA",11-03-2020,extra income stock nonperishables med etc privilege afford please also donate supply food bank fight system doesnt leave people struggling hungry pandemic coronavirus covid,Negative
158,45110,??,11-03-2020,going food raid chos ur household panic must check supply biglangdamingkailangan covid,Negative
159,45111,On your mobile,11-03-2020,cpg retail major retailer china like starbucks uniqlo nike apple temporarily shuttered store seller amazon marketplace reportedly struggling bring good country coronavirus infects luxury spending louisvuitton ralph lauren,Positive
160,45112,"South East, England",11-03-2020,people uk stock piling bog roll im pissed its ur fault im running spend £ pack normally pay £ u end quarantined u home w food surrounded bog roll coronavirus covid coronavirusoutbreak,Extremely Negative
161,45113,Inside My Head,11-03-2020,well its time stock cat food coronavirus quarantine pandemic,Positive
162,45114,,11-03-2020,forexlifecom oil price head higher u cut hope march forex forexsignals forextrading forextrader corona covid coronavirus,Positive
163,45115,Gateshead & Malmesbury,11-03-2020,im getting lot retailrelated coronavirus question moment one dont really know answer servicedock store staff react someone coughing sneezing checkout queue thought instore friend,Extremely Positive
164,45116,"Austell, GA",11-03-2020,discover coronavirus affecting retail industry via storebrands,Neutral
165,45117,Where the drama is. ,11-03-2020,italy full canceleverything mode everything closed except pharmacy supermarket post office covid covid coronavirus coronavirusitalla,Neutral
166,45118,"Toronto, Ontario",11-03-2020,cbcterry canadas response exemplary come containing spread disease say dr bruce aylward leader mission china covid youre right turn social distancingclean hand job stock,Positive
167,45119,HousePriceMania,11-03-2020,unelected bankofengland using coronavirus keep theur asset price steal u,Negative
168,45120,"London, UK",11-03-2020,look panic buying supermarket makati manila philippine announces case covid one shop worker told queue twice long normal hand sanitiser cleaning alcohol short supply coronavirusupdate,Neutral
169,45121,Neverland ,11-03-2020,new housemmate moving place tomorrow get text one current housemate like work retail store tho easily bring home covid,Positive
170,45122,"Ontario, CA",11-03-2020,remember good diet key health come stock fresh food including high vitaminc citrus market coronavirus,Extremely Positive
171,45123,United States,11-03-2020,demand food server wear glove preparing food covid coronavirus coronavirususa wednesdaythoughts,Negative
172,45124,"Dayton, OH",11-03-2020,since coronavirus pandemic online shopping stuff amp limiting much go outside item purchased u its original packaging amp handled w glove safe blessed,Extremely Positive
173,45125,"Markham, Ontario",11-03-2020,coronavirus shift online shopping habit ecommerce,Neutral
174,45126,"Cranleigh, Surrey GU6 8ND",11-03-2020,home shopping could double coronavirus take hold uk consumer switch buying food household item store online business ready meet demand via postaltechnews,Positive
175,45127,"Washington, D.C.",11-03-2020,citigroup ceo michael corbat this financial crisis bank financial system sound shape help live update,Extremely Positive
176,45128,,11-03-2020,everyone else covid need stock food water case im quarantined covid theyre going make work home need make sure food house mindlessly eat dietproblems,Neutral
177,45129,"Minnesota, USA",11-03-2020,retail store restaurant bathroom taught anything people need wash hand employee work coronavirus washyourhands,Neutral
178,45130,United States,11-03-2020,guy please stock confirm grocery store starting run non perishable food cleaning supply practice safe measure also make sure polite retail worker stressful time coronavirus,Positive
179,45131,"Taipei City, Taiwan",11-03-2020,market crash coming even coronavirus price security fall lender right demand additional cash way get cash sell way selling begets selling,Negative
180,45132,"Tijeras, NM",11-03-2020,dont stock toilet paper food water every flu season shouldnt stocking coronavirus,Neutral
181,45133,"Los Angeles, CA",11-03-2020,coronavirus la resident stock food cleaning supply,Neutral
182,45134,,11-03-2020,please please please please please dont panic buy better chance overcoming crisis stay calm cooperate everyone need soap alcohol etc stay clean everyone need access food water stay healthy covid,Extremely Positive
183,45135,"Missouri, USA",11-03-2020,askcdc necessary stockpile food toilet paper item response covid recent press conference told older adult stock period time long period time actual metric one week one month etc,Neutral
184,45136,"San Francisco, CA",11-03-2020,losing free food blow one employee said dont personally stock fridge drastically alters life sense budget  robaeprice steep price coronavirus tech worker via businessinsider,Positive
185,45137,,11-03-2020,everybody stocking toilet paper im like wth id rather stock extra food without becomes useless coronavirus,Extremely Negative
186,45138,"Dallas, TX",11-03-2020,sitting counting blessing walking trail behind house decent gym garage pool lovely home shut week month ok said headed grocery store stock frozen pizza ipa coronavirus,Extremely Positive
187,45139,"Dallas, TX",11-03-2020,quoted piece donts stockpiling musthave item eviefordham,Neutral
188,45140,Gotham ,11-03-2020,everyone love food cheescake factory stock continue destroy value shareholder management need replaced new leader need streamline business view forbes cake dining restaurant coronavirus,Positive
189,45141,"Austin, TX",11-03-2020,anxiety coronavirus driving grocery shopper online theyre able purchase cpg item need without risking exposure crowd people catalyst online grocery needed change deep rooted consumer shopping habit,Positive
190,45142,,11-03-2020,people coughing feeling sick stay home go grocery store go work please would covid coronavirus pandumbic,Negative
191,45143,Everywhere,11-03-2020,ever financial relief come dc must include consumer financial relief utility electric gas water whitehouse covid,Extremely Positive
192,45144,PNW,11-03-2020,im panicking coronavirus ask cashier local smartfoodservice theyll tell ive never needed reason stock food leave house week time fact people also annoying also wise,Extremely Positive
