Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
,Low Value,199.38,309.08,70.3,73.9,No
Treatment,Medium Value,202.82,319.25,70.3,87.3,No
Treatment,Medium Value,230.27,361.64,70.3,73.9,Yes
Control,High Value,207.44,249.66,70.3,79.0,No
Treatment,Low Value,186.97,304.25,70.3,73.9,Yes
Control,Medium Value,135.15,161.12,71.2,73.9,Yes
Treatment,Low Value,158.73,259.99,59.9,75.0,Yes
Control,Low Value,235.15,275.96,53.8,50.5,Yes
Treatment,Medium Value,249.44,388.34,70.3,79.7,No
Control,Low Value,189.48,225.76,69.9,76.0,Yes
Control,Medium Value,203.79,216.17,55.9,59.9,No
Treatment,,203.79,374.76,54.5,73.9,Yes
Control,Medium Value,265.1,320.13,64.6,73.9,Yes
Treatment,,160.56,256.73,58.5,73.9,Yes
,Medium Value,131.48,202.06,76.0,73.0,Yes
Treatment,Low Value,202.17,310.53,61.1,56.8,No
Treatment,Medium Value,252.22,388.13,70.3,61.7,Yes
Treatment,Medium Value,227.61,358.57,51.0,57.6,No
Treatment,High Value,306.21,463.27,82.1,70.8,Yes
Treatment,High Value,306.11,465.55,70.3,97.3,Yes
Treatment,High Value,197.15,307.78,91.8,87.9,Yes
,Low Value,191.91,303.15,62.1,73.9,Yes
Treatment,,160.47,251.88,49.3,47.3,Yes
Treatment,,150.77,239.51,78.5,100.0,No
Control,Medium Value,152.52,176.23,70.3,73.9,Yes
Control,Medium Value,230.69,265.72,76.4,79.2,No
Treatment,Medium Value,203.79,341.87,75.9,92.8,Yes
Treatment,Low Value,203.79,280.53,66.5,51.3,Yes
Treatment,,316.72,477.37,57.3,68.4,No
,Medium Value,203.79,337.69,84.5,91.2,Yes
Treatment,High Value,203.79,287.81,93.4,73.9,Yes
Treatment,Medium Value,263.14,409.97,71.4,72.2,Yes
Treatment,Medium Value,162.56,261.37,69.9,83.0,No
Treatment,,290.73,459.33,71.6,79.3,No
Control,Low Value,92.8,109.08,53.3,73.9,No
Treatment,,181.71,278.07,66.2,61.8,Yes
Control,Medium Value,233.06,281.2,72.6,89.1,Yes
Treatment,Medium Value,203.79,403.05,70.3,68.8,Yes
,High Value,198.6,280.45,78.5,68.4,
Control,,158.27,187.78,71.0,98.1,
Treatment,Low Value,189.98,289.68,61.6,72.3,No
Control,Medium Value,203.79,353.23,64.7,88.6,Yes
Treatment,,107.52,169.34,44.0,47.4,No
Treatment,Low Value,172.98,278.25,48.2,57.4,No
Control,,218.99,273.62,49.3,66.1,
,High Value,183.04,289.19,100.0,100.0,
Control,Low Value,203.79,166.71,46.9,73.9,Yes
Treatment,High Value,217.37,280.53,100.0,100.0,
Control,Medium Value,209.97,242.23,58.1,68.5,No
,Low Value,175.95,206.91,70.3,56.5,No
Treatment,Medium Value,203.79,444.55,72.1,77.6,No
Treatment,High Value,203.79,372.08,100.0,96.7,No
Control,Medium Value,218.73,280.53,70.5,73.9,Yes
Treatment,Medium Value,203.79,280.53,56.9,65.3,No
Treatment,Low Value,197.96,310.01,53.7,32.9,
Treatment,,172.56,266.44,82.8,69.8,No
Control,Medium Value,203.79,221.92,76.1,59.4,
Control,,203.79,162.24,93.3,79.4,No
Control,Low Value,274.59,328.79,54.3,59.0,
Control,High Value,203.79,327.05,100.0,73.9,No
,High Value,203.79,112.73,94.9,100.0,
Control,Medium Value,265.31,319.67,63.9,54.6,
Control,,203.79,280.53,54.1,45.3,Yes
Control,Medium Value,232.68,279.15,81.8,85.9,No
Control,High Value,203.79,108.88,83.8,98.5,Yes
Treatment,Low Value,164.12,265.5,56.6,65.2,Yes
Control,High Value,303.83,359.59,80.4,67.8,Yes
Treatment,,290.95,466.94,70.3,100.0,Yes
Treatment,Low Value,197.05,311.34,53.6,58.0,No
Treatment,Low Value,219.04,339.25,60.5,55.0,No
Control,Medium Value,135.94,154.7,84.7,78.3,No
Control,Medium Value,223.5,269.72,75.2,76.4,No
Control,High Value,262.61,314.2,84.8,73.9,Yes
Control,Low Value,300.48,366.78,52.2,62.0,No
Treatment,Low Value,155.81,234.95,35.8,47.1,Yes
,Medium Value,204.88,251.78,70.3,70.0,Yes
Control,High Value,203.79,284.51,99.6,100.0,Yes
Control,High Value,257.84,303.92,74.7,84.2,Yes
Control,Medium Value,203.79,301.62,68.3,54.3,Yes
Control,Low Value,231.66,285.22,53.3,60.6,No
Treatment,Medium Value,248.75,398.15,76.9,98.4,Yes
Control,Medium Value,138.16,171.67,70.9,80.3,
Treatment,Medium Value,88.04,129.4,70.3,65.8,No
,,171.32,280.53,70.3,75.4,Yes
Treatment,Low Value,184.04,286.08,40.7,73.9,
,Medium Value,167.49,210.01,64.7,62.1,No
Control,,165.56,185.1,70.3,51.8,Yes
Treatment,Medium Value,203.79,296.46,74.1,73.9,Yes
Treatment,High Value,250.63,280.53,94.8,100.0,
,,140.57,218.87,70.2,60.3,No
Control,High Value,221.39,267.8,72.4,73.9,Yes
,,203.7,321.65,60.2,80.3,Yes
Control,Medium Value,240.31,288.23,79.7,90.4,Yes
Control,Medium Value,260.03,312.46,70.1,59.4,No
,Low Value,255.26,404.43,50.0,46.6,No
Treatment,High Value,177.61,280.53,70.3,79.7,Yes
Control,Low Value,89.23,104.6,53.9,73.9,No
Control,Low Value,171.67,200.37,57.7,66.8,Yes
,Medium Value,125.51,194.86,69.4,63.5,Yes
Treatment,High Value,203.79,477.37,94.4,73.9,Yes
Treatment,Medium Value,203.79,280.53,54.4,67.4,No
Control,Low Value,203.79,253.88,70.3,57.1,No
Control,,203.79,302.03,70.3,73.9,No
Control,,240.96,296.75,76.6,74.8,No
Control,Medium Value,316.72,382.58,74.0,70.0,
Control,High Value,216.01,253.73,89.1,100.0,Yes
Control,High Value,173.12,209.52,75.3,73.9,No
Treatment,Medium Value,153.75,280.53,69.8,85.4,Yes
Control,,219.0,260.27,50.1,53.1,No
Control,Medium Value,192.85,233.02,70.3,60.6,Yes
Control,Low Value,146.43,184.94,50.8,50.6,Yes
,Low Value,205.12,310.03,70.3,73.9,Yes
Control,,238.61,278.31,59.8,73.9,No
Control,Low Value,203.79,280.53,56.6,59.2,Yes
,Low Value,216.88,335.19,55.0,56.2,No
Control,Medium Value,203.79,250.99,67.7,60.2,No
Control,Medium Value,178.16,222.43,49.7,73.9,No
Control,Medium Value,245.24,299.87,70.4,56.5,
Control,Low Value,137.62,162.06,57.8,74.2,No
Control,,162.86,204.43,100.0,100.0,No
Treatment,Low Value,237.03,280.53,61.0,73.9,Yes
Treatment,High Value,203.79,315.61,73.9,55.5,Yes
Treatment,Medium Value,287.74,451.26,63.8,68.7,Yes
Control,High Value,271.51,328.02,83.6,96.8,Yes
,Medium Value,176.85,216.83,69.3,79.4,Yes
,Medium Value,229.84,280.0,70.3,65.1,No
Treatment,High Value,316.72,477.37,100.0,100.0,No
Control,,246.89,292.29,73.2,96.4,No
Control,,261.95,307.64,100.0,73.9,No
Treatment,Medium Value,167.23,265.82,62.5,78.0,Yes
Control,,203.79,315.87,51.3,73.9,
Treatment,,245.09,387.74,50.3,53.5,Yes
Treatment,Medium Value,177.16,271.67,68.3,76.3,Yes
Treatment,Medium Value,300.48,473.65,55.3,54.3,Yes
Control,High Value,254.47,280.53,100.0,100.0,No
Control,Low Value,148.28,175.21,54.5,65.5,Yes
,High Value,197.65,244.23,74.3,90.9,Yes
Control,,252.61,309.08,59.7,77.0,No
Control,,203.79,199.21,70.3,70.5,
Control,,162.01,191.19,98.7,100.0,Yes
Control,Medium Value,185.86,221.72,78.7,100.0,No
,Low Value,167.15,260.86,54.6,52.6,No
,High Value,186.14,219.86,96.4,100.0,Yes
Treatment,Low Value,161.07,252.63,56.1,50.6,No
Control,Low Value,225.32,266.85,53.6,58.6,No
Control,,203.79,254.58,52.0,62.2,No
Control,High Value,203.79,280.53,88.8,100.0,Yes
Treatment,,186.18,284.3,68.9,63.9,
Treatment,Low Value,170.6,270.72,53.7,73.9,No
Treatment,Low Value,178.31,280.53,56.9,69.0,No
,Low Value,185.51,284.12,70.3,46.3,No
Control,Medium Value,203.79,296.01,60.1,59.2,
Treatment,,208.73,328.18,71.2,87.8,No
Control,High Value,233.23,282.31,92.4,78.1,No
Control,Medium Value,279.01,334.78,68.0,63.4,Yes
Treatment,High Value,203.79,477.37,70.3,100.0,No
Treatment,High Value,158.23,248.21,81.0,63.3,
Treatment,,203.79,217.1,96.3,79.9,
Treatment,High Value,202.01,327.65,100.0,100.0,Yes
Treatment,High Value,279.63,433.51,93.1,100.0,No
Treatment,Low Value,203.71,315.03,70.3,73.9,
Treatment,,247.03,381.8,74.8,73.9,Yes
Treatment,Low Value,203.79,255.51,52.0,64.9,No
Control,High Value,113.65,134.62,80.6,88.0,Yes
Treatment,Medium Value,140.37,212.91,70.3,73.4,
Treatment,Low Value,203.79,323.47,58.0,73.9,No
Control,,231.32,279.4,54.0,63.2,No
Treatment,,122.87,192.5,95.2,73.9,No
Control,Low Value,251.45,303.12,70.5,73.9,Yes
Control,,199.63,243.22,62.2,62.6,Yes
,Low Value,179.45,271.51,47.9,49.1,No
Control,Low Value,153.8,185.24,54.0,63.8,Yes
Control,Low Value,252.83,311.43,56.5,73.9,Yes
Control,High Value,284.1,336.31,78.0,94.7,No
Control,High Value,254.33,321.09,95.9,73.9,Yes
Treatment,Low Value,145.64,223.93,47.8,73.9,Yes
Control,,316.72,383.4,98.7,100.0,No
Treatment,High Value,203.79,373.23,100.0,100.0,Yes
Control,Medium Value,224.82,260.05,69.6,78.1,Yes
Control,Low Value,180.75,211.63,56.2,60.6,No
Control,High Value,203.79,219.99,91.7,97.1,No
Control,,249.78,297.12,70.3,71.0,Yes
Treatment,Low Value,212.51,324.15,49.4,51.8,No
Treatment,Medium Value,184.95,296.96,76.0,73.9,No
Control,Low Value,198.36,238.86,55.0,70.2,
Control,Medium Value,203.16,241.96,69.2,91.6,No
Treatment,,225.3,366.73,61.7,74.8,Yes
Control,Low Value,203.85,243.77,57.7,71.6,Yes
Control,Low Value,190.02,221.44,70.3,76.0,Yes
Control,Low Value,203.79,280.53,45.7,45.1,No
Treatment,Medium Value,182.65,285.88,68.0,58.5,
Treatment,Medium Value,203.79,270.36,82.0,78.5,No
Treatment,High Value,181.2,274.87,100.0,100.0,Yes
Control,Low Value,203.79,232.54,46.5,40.5,No
Control,Medium Value,203.79,235.26,65.1,74.6,No
Treatment,Medium Value,199.78,306.83,70.3,78.3,Yes
Treatment,Medium Value,228.11,280.53,83.2,87.7,Yes
Treatment,,203.79,367.05,53.2,56.4,Yes
Treatment,High Value,291.2,461.21,86.4,100.0,No
Control,Medium Value,169.6,280.53,67.6,72.6,No
Treatment,Low Value,228.21,280.53,53.4,61.1,No
Control,Medium Value,310.38,370.53,74.6,90.9,No
Treatment,,208.48,313.18,89.6,98.5,No
Control,High Value,222.05,258.52,70.3,100.0,Yes
,,189.19,285.39,60.0,66.4,Yes
,Medium Value,152.59,230.88,67.5,76.5,No
Treatment,Low Value,115.15,180.26,76.0,73.9,No
Treatment,Low Value,203.79,300.42,50.4,68.1,Yes
Control,High Value,210.79,236.79,100.0,73.9,Yes
Treatment,Low Value,225.25,356.58,65.6,74.1,No
,Low Value,211.11,260.18,49.9,49.8,No
Control,High Value,191.98,243.05,89.8,73.9,No
Control,Medium Value,179.43,216.82,78.8,75.0,Yes
Control,High Value,193.26,218.73,100.0,73.9,
Treatment,Low Value,277.16,421.46,70.3,52.6,
Control,High Value,203.79,280.53,93.7,100.0,No
Control,,203.85,243.77,70.3,70.9,Yes
Control,High Value,202.1,237.08,100.0,100.0,No
Treatment,Low Value,177.15,264.37,48.3,52.5,Yes
Treatment,Low Value,202.88,307.48,70.3,61.0,Yes
,High Value,316.72,477.37,82.1,91.1,Yes
Treatment,Medium Value,224.43,352.5,61.0,72.3,Yes
Control,High Value,255.75,312.2,84.3,78.6,No
Control,Medium Value,88.04,105.56,65.8,51.5,Yes
Treatment,Medium Value,221.58,337.21,85.0,73.9,No
Control,High Value,144.94,280.53,83.4,100.0,No
Control,Medium Value,203.79,208.48,70.3,72.0,Yes
,Low Value,190.51,226.92,47.6,60.5,Yes
Treatment,High Value,212.93,324.12,99.9,87.6,Yes
Treatment,Medium Value,173.75,275.72,70.3,79.8,Yes
Control,Low Value,157.41,184.67,70.3,64.2,No
,High Value,203.79,349.83,83.4,91.3,Yes
Treatment,Low Value,171.02,268.9,47.0,60.8,Yes
Treatment,Low Value,188.52,300.92,46.3,36.4,Yes
Treatment,Low Value,181.81,286.48,60.2,63.0,
Treatment,Medium Value,268.62,432.46,65.3,63.5,Yes
Control,High Value,119.65,137.97,98.2,93.9,Yes
Treatment,,244.37,386.54,78.4,74.3,
Control,Medium Value,213.42,257.4,70.3,73.9,Yes
Control,High Value,226.19,265.05,83.9,91.8,No
Treatment,,153.6,245.11,47.3,49.4,Yes
Control,,221.96,270.8,66.5,73.9,No
Control,Medium Value,122.67,142.07,58.8,62.1,Yes
,Low Value,196.07,224.99,61.3,75.7,No
Treatment,Medium Value,224.68,348.13,63.6,53.1,Yes
Treatment,Low Value,154.1,234.08,57.9,57.1,
,Low Value,203.79,330.26,54.4,50.5,Yes
Treatment,High Value,215.47,334.52,84.1,75.0,Yes
Treatment,Low Value,196.76,318.33,49.6,53.2,No
,,267.79,280.53,70.3,67.0,No
Treatment,,316.72,477.37,98.0,92.4,Yes
Control,Medium Value,203.79,177.27,58.1,73.9,Yes
Control,Low Value,163.04,189.14,70.3,44.9,No
Treatment,Medium Value,203.79,313.22,76.9,98.4,No
Treatment,,172.09,260.13,77.4,78.1,Yes
Control,Low Value,223.53,269.54,60.4,73.9,No
Control,High Value,174.92,208.37,85.0,90.0,
Treatment,Medium Value,203.79,425.97,56.8,51.2,Yes
Control,Low Value,210.59,245.93,57.6,72.1,
Treatment,High Value,203.79,461.83,88.2,96.5,No
Treatment,High Value,179.36,280.53,100.0,73.9,Yes
Control,High Value,201.24,248.7,91.5,73.9,Yes
Control,Medium Value,249.55,291.91,84.4,83.4,No
Treatment,Medium Value,244.15,365.22,67.3,73.9,Yes
Treatment,Medium Value,189.13,288.73,83.0,73.9,Yes
Control,,203.79,248.42,87.6,92.8,No
Treatment,Medium Value,203.79,289.37,76.4,73.9,Yes
,,203.79,216.98,41.3,50.9,Yes
Treatment,Medium Value,155.56,280.53,81.1,73.9,No
Control,Medium Value,147.37,162.46,68.2,68.6,Yes
Control,High Value,203.79,343.79,95.7,95.8,Yes
Control,Medium Value,188.93,226.82,66.0,76.7,Yes
Treatment,Low Value,203.79,364.34,70.3,63.4,
Treatment,High Value,255.93,405.13,91.5,100.0,
Control,Low Value,198.9,234.11,70.3,49.7,No
Treatment,,189.77,286.24,100.0,100.0,Yes
Control,,168.63,203.14,58.2,65.5,Yes
Control,Medium Value,203.79,230.15,66.8,73.9,No
Treatment,Low Value,254.1,385.88,53.7,58.9,No
,High Value,275.99,429.23,78.5,94.1,No
Control,,203.79,204.37,73.1,94.5,Yes
Treatment,,202.64,309.65,73.0,88.7,No
Treatment,High Value,174.58,267.04,70.3,75.8,
Control,High Value,143.96,175.72,95.4,100.0,No
Control,High Value,228.36,276.48,76.5,94.8,No
Treatment,High Value,316.72,477.37,94.1,94.0,Yes
Control,,316.72,386.83,80.3,78.7,Yes
Control,Medium Value,236.55,289.11,65.3,67.5,No
Treatment,High Value,196.43,311.56,70.3,93.5,Yes
Control,Low Value,123.92,154.33,70.3,73.9,No
Control,,257.1,310.53,66.1,73.3,Yes
Treatment,Low Value,207.22,331.24,47.4,57.3,No
Treatment,,210.14,305.55,89.4,73.9,Yes
Control,Low Value,164.81,195.91,38.8,46.0,No
Control,High Value,256.29,301.36,79.9,91.2,Yes
Treatment,High Value,182.19,299.68,100.0,100.0,No
Treatment,,203.79,280.53,59.0,66.2,Yes
Treatment,Medium Value,203.79,226.34,63.9,71.7,Yes
Treatment,High Value,203.79,477.37,100.0,100.0,Yes
Control,Medium Value,183.27,280.53,71.7,49.9,Yes
Treatment,Low Value,211.97,326.35,70.3,51.8,Yes
Treatment,Medium Value,151.38,241.56,77.0,88.1,No
Control,,199.71,247.35,70.3,73.9,
,,235.9,373.34,54.7,61.4,Yes
Control,,258.02,323.43,70.3,63.8,Yes
Treatment,High Value,203.79,422.81,70.3,74.9,No
Treatment,Low Value,177.42,270.59,48.5,73.9,No
Treatment,,179.49,277.0,70.3,93.7,Yes
Control,Low Value,135.51,165.7,54.3,38.3,No
Control,High Value,306.34,358.25,70.3,83.3,No
Treatment,High Value,234.32,360.77,70.3,69.8,
Control,Medium Value,223.23,270.45,76.7,69.2,No
Control,High Value,302.22,374.0,66.4,68.7,Yes
Control,,203.79,288.24,68.4,73.9,No
Control,Low Value,178.13,213.54,70.3,48.8,No
Control,High Value,263.93,318.62,91.3,72.8,Yes
Control,High Value,196.38,222.37,70.3,100.0,Yes
Treatment,Low Value,110.78,168.54,49.8,54.9,Yes
Treatment,Low Value,258.26,395.05,55.4,51.9,Yes
Control,High Value,204.79,249.4,81.9,68.7,No
Treatment,Low Value,170.75,261.52,57.4,66.8,No
Treatment,Medium Value,187.96,301.02,81.2,88.2,Yes
Treatment,Low Value,203.79,259.67,54.1,41.0,
,Low Value,235.64,364.74,50.8,48.6,Yes
Control,,255.46,301.13,93.6,93.3,No
Treatment,,184.23,279.8,70.3,100.0,No
,Low Value,203.79,207.27,56.3,45.6,Yes
Control,Medium Value,222.61,253.17,60.6,55.9,No
,,88.04,100.15,88.2,73.9,Yes
,Medium Value,216.83,337.0,61.3,67.5,Yes
Treatment,High Value,305.48,454.6,77.8,100.0,Yes
Treatment,Low Value,184.84,296.0,61.3,50.5,Yes
,High Value,293.8,458.04,82.6,71.3,Yes
,Low Value,131.98,209.38,58.8,73.9,No
Treatment,Low Value,280.81,441.64,57.2,63.6,Yes
Control,High Value,292.54,355.53,70.3,100.0,No
Treatment,Medium Value,225.75,356.67,70.3,98.3,No
,Medium Value,170.01,269.71,66.3,70.9,Yes
Control,Low Value,158.15,190.57,53.0,49.1,No
Control,High Value,203.79,276.55,76.5,90.8,No
Control,Medium Value,264.04,332.04,79.3,68.5,No
Control,,149.59,172.74,70.3,67.0,Yes
Treatment,,187.88,295.0,63.8,56.5,No
Treatment,Low Value,225.23,355.59,55.5,61.4,No
,High Value,203.79,421.02,100.0,100.0,No
,Low Value,229.08,369.15,52.0,46.6,Yes
Treatment,Medium Value,145.59,230.3,74.4,70.9,No
Treatment,Medium Value,263.1,410.9,73.4,74.3,No
Control,Medium Value,215.96,255.39,62.5,75.0,Yes
Treatment,Medium Value,156.72,249.2,52.8,55.4,No
Control,High Value,203.79,272.44,94.9,99.7,No
Control,High Value,115.59,280.53,70.1,85.5,
Treatment,,216.15,342.88,57.2,61.5,
Control,Low Value,96.56,113.78,31.5,76.0,Yes
,,203.79,280.53,53.2,56.1,No
Control,,203.79,234.0,70.3,100.0,No
Treatment,,162.38,243.22,73.8,83.3,No
Control,,156.96,187.27,60.2,73.9,Yes
Treatment,Medium Value,203.79,152.37,66.9,88.6,No
Treatment,Low Value,203.79,186.48,70.3,46.1,
Treatment,Low Value,177.17,276.04,40.5,42.4,Yes
Treatment,Low Value,176.41,282.31,50.7,42.8,No
Treatment,Low Value,224.85,338.46,40.5,73.9,No
,Low Value,151.16,169.4,54.3,68.4,No
Control,,181.42,207.54,72.6,87.8,Yes
Control,Low Value,167.36,192.25,49.7,36.9,
Treatment,Medium Value,198.06,307.25,79.7,91.4,Yes
,High Value,222.61,264.47,92.1,100.0,Yes
Treatment,Low Value,168.62,263.55,47.7,61.8,No
Treatment,Medium Value,230.19,360.01,66.2,77.7,No
Control,,203.79,431.16,70.3,100.0,No
Control,High Value,185.59,210.67,66.1,70.7,No
Treatment,High Value,245.4,280.53,83.7,73.9,
Control,,207.11,243.91,73.8,89.5,No
Treatment,Low Value,229.76,365.49,49.4,49.9,Yes
Treatment,Low Value,196.26,306.96,70.3,27.6,No
Treatment,Medium Value,203.85,316.9,81.1,94.7,No
Treatment,,130.59,194.92,69.3,64.3,No
Treatment,Medium Value,241.32,372.16,70.2,73.9,No
Control,Low Value,136.32,167.32,54.4,73.9,No
Control,,289.91,342.94,98.5,100.0,Yes
Treatment,Low Value,211.91,331.57,70.3,54.3,No
Treatment,,207.53,316.99,70.2,91.0,No
Control,,140.0,173.68,86.0,73.9,Yes
Control,High Value,259.81,300.67,100.0,100.0,Yes
Treatment,Medium Value,299.02,477.37,58.4,75.5,No
Control,Low Value,168.61,205.25,45.4,73.9,Yes
Treatment,Low Value,151.07,280.53,50.9,44.7,No
Control,High Value,225.41,271.52,70.3,100.0,Yes
Treatment,Medium Value,231.26,353.3,79.7,89.0,No
Control,High Value,198.91,241.85,88.5,73.9,No
Treatment,Low Value,230.87,354.71,61.5,59.5,No
Control,High Value,316.72,390.51,92.1,93.9,No
Control,Medium Value,222.41,265.98,69.5,83.2,No
Treatment,High Value,208.38,316.44,94.7,90.8,No
Control,Medium Value,229.2,274.46,48.5,52.6,Yes
,Medium Value,255.99,397.29,66.7,65.7,No
,Low Value,203.79,216.6,50.9,44.4,
Treatment,Low Value,215.72,346.25,42.5,47.3,No
Control,Low Value,226.86,267.21,64.6,73.1,No
Treatment,Medium Value,163.65,261.85,69.2,73.9,Yes
Control,,257.95,303.07,94.7,90.3,Yes
Treatment,Medium Value,143.14,221.44,70.3,73.7,Yes
Control,Low Value,172.01,206.59,70.3,53.8,No
Treatment,Low Value,244.43,364.91,55.2,55.2,
Treatment,High Value,276.82,424.21,67.4,73.9,Yes
Treatment,Low Value,171.44,267.52,57.4,58.8,Yes
Control,,257.46,307.87,49.3,64.8,No
Treatment,,129.87,201.01,70.3,65.0,No
,High Value,214.27,261.55,100.0,100.0,No
Treatment,Medium Value,215.5,327.68,90.0,84.7,Yes
Control,Low Value,88.04,75.68,48.2,44.1,No
Treatment,High Value,215.15,321.43,77.7,73.9,No
Control,Low Value,144.95,169.7,59.2,70.7,No
Control,High Value,174.02,280.53,97.7,100.0,Yes
Treatment,Low Value,175.73,272.33,45.4,49.0,No
Control,,203.79,160.03,90.0,100.0,Yes
Control,Low Value,152.04,176.47,52.0,62.7,Yes
,Medium Value,114.56,165.55,70.7,73.9,No
Control,Low Value,203.79,244.34,60.0,60.9,
Control,High Value,238.59,298.75,100.0,100.0,No
Control,,167.78,197.45,53.0,51.8,Yes
Treatment,Medium Value,257.9,385.61,88.0,88.6,No
Control,,170.89,212.01,53.1,73.9,Yes
,,221.13,334.56,100.0,100.0,Yes
Control,,185.23,222.9,93.3,73.9,No
Control,Medium Value,103.44,125.57,81.6,83.4,
Control,High Value,203.79,262.86,100.0,100.0,Yes
Treatment,Low Value,178.32,274.42,47.7,51.4,No
Control,Low Value,262.26,315.64,55.7,59.7,Yes
Control,Low Value,216.1,280.53,47.0,54.4,
Treatment,,204.13,298.35,89.6,73.9,No
Control,,190.78,224.99,46.5,65.2,No
Treatment,,229.33,358.28,52.1,65.2,No
Treatment,Low Value,207.84,314.9,53.1,60.6,No
,,294.04,351.56,63.4,76.6,No
Treatment,High Value,203.79,290.66,89.0,100.0,No
Control,,203.79,346.04,100.0,96.8,No
Treatment,High Value,202.0,304.33,77.4,81.7,Yes
Treatment,Medium Value,216.12,336.68,70.3,80.8,No
Control,High Value,203.73,235.05,100.0,73.9,Yes
Treatment,Medium Value,204.74,299.54,64.2,60.1,Yes
Treatment,Medium Value,215.08,329.28,70.3,73.9,Yes
Treatment,High Value,263.49,403.57,100.0,100.0,
Treatment,,194.59,280.53,50.9,66.4,No
Treatment,Low Value,88.04,113.95,53.3,73.9,Yes
Control,High Value,229.12,273.59,100.0,100.0,No
